station_name,location,time_of_day,start_station_count,end_station_count,total_station_traffic
31 St & Hoyt Ave N,"40.7711528,-73.9170074",Morning,18,10,28
7 St & 3 Ave,"40.672602981501257,-73.989830017089844",Morning,14,14,28
31 Ave & 30 St,"40.7647,-73.9240312",Morning,18,10,28
Morningside Ave & W 123 St,"40.81,-73.9551508",Morning,14,13,27
34 Ave & 38 St,"40.756913,-73.921631",Morning,15,11,26
Classon Ave & St Marks Ave,"40.6765198,-73.9596082",Morning,19,7,26
Park Pl & Franklin Ave,"40.6741806,-73.9564947",Morning,23,3,26
Jackson St & Leonard St,"40.716380319735613,-73.948212862014771",Morning,19,7,26
Vernon Blvd & 47 Rd,"40.7449067,-73.9534573",Morning,11,15,26
Bedford Ave & Bergen St,"40.676368,-73.952918",Morning,21,4,25
43 St & Broadway,"40.7577284,-73.9166368",Morning,19,5,24
Lenox Ave & W 117 St,"40.8025566,-73.9490782",Morning,20,4,24
Lexington Ave & E 111 St,"40.7954121,-73.9441232",Morning,19,5,24
W 12 St & W 4 St,"40.737561211811368,-74.003982692956924",Morning,15,8,23
W 87 St & West End Ave,"40.790261,-73.977131",Morning,14,9,23
E 123 St & Lexington Ave,"40.8029263,-73.9379",Morning,17,6,23
Carroll St & Washington Ave,"40.6686744,-73.9618148",Morning,1,22,23
27 Ave & 9 St,"40.7739825,-73.9309134",Morning,18,5,23
N Henry St & Richardson St,"40.71921585,-73.9424469",Morning,16,7,23
28 St & 38 Ave,"40.754876,-73.934326",Morning,12,10,22
28 St & 40 Ave,"40.7525758,-73.9364281",Morning,9,13,22
2 Ave & E 122 St,"40.8006721,-73.9349",Morning,9,13,22
Clinton St & Centre St,"40.67434,-74.00194698",Morning,14,8,22
Steinway St & 28 Ave,"40.7656251,-73.9136695",Morning,12,10,22
28 St & 36 Ave,"40.757186,-73.932719",Morning,10,12,22
Crescent St & 30 Ave,"40.768692,-73.9249574",Morning,9,12,21
Henry St & W 9 St,"40.6763744,-74.00324957",Morning,8,12,20
35 St & Broadway,"40.760339,-73.9222427",Morning,13,7,20
E 114 St & 1 Ave,"40.7945663,-73.9362541",Morning,10,10,20
Adam Clayton Powell Blvd & W 118 St,"40.804372,-73.951475",Morning,13,7,20
Ditmars Blvd & 19 St,"40.78145,-73.9183302",Morning,11,9,20
24 St & 41 Ave,"40.7527085,-73.9397405",Morning,11,8,19
3 Ave & E 100 St,"40.7877214,-73.94728331",Morning,9,10,19
31 Ave & Crescent St,"40.7658346,-73.9265474",Morning,15,4,19
35 St & 34 Ave,"40.7580583,-73.9242751",Morning,9,10,19
E 81 St & 2 Ave,"40.774779448957275,-73.954274654388428",Morning,9,10,19
28 Ave & 35 St,"40.7671,-73.9169858",Morning,8,10,18
Columbia St & W 9 St,"40.6769993,-74.00647134",Morning,14,4,18
Grand Ave & Bergen St,"40.678045,-73.962408",Morning,14,4,18
E 118 St & 3 Ave,"40.799139,-73.9389152",Morning,13,5,18
Crescent St & Broadway,"40.7633589,-73.9286471",Morning,15,3,18
21 St & Hoyt Ave S,"40.774645,-73.923706",Morning,10,7,17
19 St & 24 Ave,"40.7774552,-73.9225403",Morning,12,5,17
E 116 St & 2 Ave,"40.796879,-73.937261",Morning,8,9,17
11 St & 35 Ave,"40.7627442,-73.9391141",Morning,7,9,16
Union St & Bedford Ave,"40.6691783,-73.9554162",Morning,15,1,16
Newton Rd & 44 St,"40.7595701,-73.9142678",Morning,8,7,15
Crescent St & 35 Ave,"40.7596276,-73.9321455",Morning,10,5,15
Crown St & Bedford Ave,"40.666563,-73.956741",Morning,13,2,15
Steinway St & 23 Ave,"40.7713937,-73.9077436",Morning,10,4,14
Lincoln Pl & Classon Ave,"40.6721683,-73.9609",Morning,4,10,14
E 118 St & Madison Ave,"40.8014866,-73.9442507",Morning,7,7,14
48 Ave & 30 Pl,"40.741283093559929,-73.937258720397935",Morning,4,10,14
Gansevoort St & Hudson St,"40.739448201304036,-74.005070328712463",Morning,4,10,14
Henry St & W 9 St,"40.67630357634183,-74.003140479326248",Morning,1,12,13
40 Ave & 9 St,"40.75742,-73.945133",Morning,8,5,13
Crescent St & Ditmars Blvd,"40.7787185,-73.9145645",Morning,8,5,13
24 Ave & 29 St,"40.7729,-73.916142",Morning,10,3,13
Prospect Pl & Underhill Ave,"40.6769694,-73.96579",Morning,11,2,13
E 115 St & Madison Ave,"40.7989445,-73.944846",Morning,11,2,13
3 Ave & E 112 St,"40.795508,-73.941606",Morning,6,7,13
Leonard St & Nassau Ave,"40.7239567849954,-73.949843645095825",Morning,10,3,13
Leonard St & Meeker Ave,"40.717318403855785,-73.948202133178711",Morning,7,6,13
Sterling St & Bedford Ave,"40.6627059,-73.9569115",Morning,11,1,12
Madison Ave & E 120 St,"40.80295,-73.942954",Morning,8,4,12
34 Ave & 21 St,"40.7628138,-73.9342862",Morning,8,4,12
E 128 St & Madison Ave,"40.80756,-73.939182",Morning,10,2,12
Columbia St & Lorraine St,"40.6747055,-74.0075572",Morning,5,6,11
5 St & 51 Ave,"40.7423737,-73.9566",Morning,7,4,11
Lexington Ave & E 127 St,"40.805726,-73.936322",Morning,3,8,11
49 Ave & 21 St,"40.74252,-73.948852",Morning,6,5,11
E 118 St & 1 Ave,"40.79747,-73.93504",Morning,6,5,11
Morningside Dr & Amsterdam Ave,"40.810285063060029,-73.957364559173584",Morning,6,4,10
Vernon Blvd & 31 Ave,"40.7692475,-73.9354504",Morning,7,3,10
Sullivan Pl & Bedford Ave,"40.6642406,-73.9574686",Morning,7,3,10
E 118 St & Park Ave,"40.8005385,-73.9419949",Morning,5,5,10
24 Ave & 26 St,"40.774591,-73.918544",Morning,7,3,10
Broadway & 12 St,"40.7668,-73.9347774",Morning,7,3,10
21 St & 38 Ave,"40.7576314,-73.9391224",Morning,2,8,10
Crescent St & 34 Ave,"40.76108,-73.930562",Morning,5,5,10
27 St & Hunter St,"40.7485,-73.941275",Morning,8,2,10
30 Ave & 21 St,"40.7703743,-73.9286078",Morning,5,5,10
31 Ave & 14 St,"40.7682,-73.9322662",Morning,5,4,9
21 St & 31 Dr,"40.7659,-73.930819",Morning,6,3,9
3 Ave & E 95 St,"40.784596798848916,-73.949685394763947",Morning,4,4,8
Rogers Ave & Sterling St,"40.6630619,-73.9538746",Morning,7,1,8
5 Ave & E 126 St,"40.80698,-73.941747",Morning,4,4,8
31 Ave & Steinway St,"40.761293897289086,-73.916916847229",Morning,4,4,8
34 St & 35 Ave,"40.7569332,-73.9262231",Morning,2,6,8
27 Ave & 4 St,"40.7747175,-73.9337894",Morning,4,4,8
Marcy Ave & MacDonough St,"40.680617684554512,-73.946249485015869",Morning,2,5,7
Pleasant Ave & E 120 St,"40.7974772,-73.9311847",Morning,6,1,7
23 Ave & 27 St,"40.776165,-73.9153175",Morning,4,3,7
Pacific St & Classon Ave,"40.6791944,-73.9587903",Morning,6,1,7
Dean St & Franklin Ave,"40.677592069373759,-73.955637216568",Morning,7,0,7
Newtown Ave & 23 St,"40.7713615,-73.9246145",Morning,4,2,6
Van Brunt St & Van Dyke St,,Morning,0,6,6
31 St & Northern Blvd,"40.751869514218747,-73.933492898941026",Morning,1,5,6
E 98 St & Lexington Ave,"40.787285198609517,-73.950122594833374",Morning,6,0,6
Smart Cities Conference,,Morning,0,6,6
W 129 St & Convent Ave,"40.814394437915816,-73.953247368335724",Morning,2,4,6
21 St & 36 Ave,"40.7601853,-73.9362726",Morning,4,2,6
"Industry City, Building 1 Basement",,Morning,0,5,5
37 St & 24 Ave,"40.7701477,-73.9120938",Morning,4,1,5
35 Ave & 10 St,"40.763154819103733,-73.939855098724365",Morning,2,3,5
31 St & 35 Ave,"40.758204646967577,-73.928321599960327",Morning,3,2,5
E 98 St & Park Ave,,Morning,0,5,5
39 St & 2 Ave - Citi Bike HQ at Industry City,"40.655399774478312,-74.010627865791321",Morning,2,2,4
Carroll St & Franklin Ave,"40.6679411,-73.9588",Morning,4,0,4
Pacific St & Bedford Ave,"40.6777747,-73.9529322",Morning,1,2,3
NYCBS Depot - SSP,,Morning,0,2,2
8D QC Station 01,"45.506364054011385,-73.5694634914398",Morning,1,1,2
8D Mobile 01,"45.505850638767228,-73.569109439849854",Morning,1,1,2
Montgomery St & Franklin Ave OLD,"40.6661649,-73.9593484",Morning,2,0,2
Lexington Ave & E 120 St,"40.8013066,-73.9398167",Morning,2,0,2
Convent Ave & W 129 St,"40.81413,-73.953005",Morning,2,0,2
Montgomery St & Franklin Ave,"40.666439306870814,-73.9605563879013",Morning,1,0,1
11 St & 43 Ave,"40.7519071,-73.9479119",Morning,1,0,1
32 St & 30 Ave,"40.766425527028794,-73.920629024505615",Morning,1,0,1
34 Ave & 13 St,,Morning,0,1,1
Exchange Place,,Morning,0,1,1
